"","Price"
"2017-05-30",10200
"2017-05-31",10250
"2017-06-01",9990
"2017-06-02",10350
"2017-06-05",10450
"2017-06-07",10150
"2017-06-08",10100
"2017-06-09",10050
"2017-06-12",10250
"2017-06-13",10000
"2017-06-14",9940
"2017-06-15",9920
"2017-06-16",9790
"2017-06-19",9960
"2017-06-20",9860
"2017-06-21",10550
"2017-06-22",10400
"2017-06-23",10450
"2017-06-26",10700
"2017-06-27",11100
"2017-06-28",11400
"2017-06-29",11000
"2017-06-30",11300
"2017-07-03",11400
"2017-07-04",10950
"2017-07-05",11050
"2017-07-06",11350
"2017-07-07",11100
"2017-07-10",10750
"2017-07-11",10850
"2017-07-12",10400
"2017-07-13",10300
"2017-07-14",10650
"2017-07-17",10650
"2017-07-18",10600
"2017-07-19",10600
"2017-07-20",10800
"2017-07-21",10750
"2017-07-24",10650
"2017-07-25",10550
"2017-07-26",10400
"2017-07-27",10500
"2017-07-28",10200
"2017-07-31",10950
"2017-08-01",10750
"2017-08-02",10800
"2017-08-03",10350
"2017-08-04",10200
"2017-08-07",10450
"2017-08-08",10350
"2017-08-09",10400
"2017-08-10",10200
"2017-08-11",10050
"2017-08-14",9820
"2017-08-16",9750
"2017-08-17",9700
"2017-08-18",9740
"2017-08-21",10000
"2017-08-22",9990
"2017-08-23",10000
"2017-08-24",9920
"2017-08-25",10000
"2017-08-28",10350
"2017-08-29",10500
"2017-08-30",10550
"2017-08-31",10550
"2017-09-01",10900
"2017-09-04",11050
"2017-09-05",11100
"2017-09-06",11200
"2017-09-07",11650
"2017-09-08",11250
"2017-09-11",11400
"2017-09-12",11500
"2017-09-13",11200
"2017-09-14",11000
"2017-09-15",10900
"2017-09-18",11300
"2017-09-19",11400
"2017-09-20",11200
"2017-09-21",11050
"2017-09-22",10750
"2017-09-25",10550
"2017-09-26",10600
"2017-09-27",10550
"2017-09-28",10500
"2017-09-29",10550
"2017-10-10",10400
"2017-10-11",10600
"2017-10-12",10500
"2017-10-13",10350
"2017-10-16",10150
"2017-10-17",10300
"2017-10-18",10000
"2017-10-19",10100
"2017-10-20",10200
"2017-10-23",10500
"2017-10-24",10350
"2017-10-25",10300
"2017-10-26",10400
"2017-10-27",10450
"2017-10-30",11200
"2017-10-31",11100
"2017-11-01",11000
"2017-11-02",10300
"2017-11-03",10350
"2017-11-06",10350
"2017-11-07",10550
"2017-11-08",10850
"2017-11-09",10750
"2017-11-10",11000
"2017-11-13",11450
"2017-11-14",11500
"2017-11-15",11400
"2017-11-16",11350
"2017-11-17",11000
"2017-11-20",11350
"2017-11-21",11100
"2017-11-22",11150
"2017-11-23",11950
"2017-11-24",11900
"2017-11-27",12700
"2017-11-28",12350
"2017-11-29",12300
"2017-11-30",11650
"2017-12-01",11800
"2017-12-04",11700
"2017-12-05",11600
"2017-12-06",11400
"2017-12-07",11200
"2017-12-08",10900
"2017-12-11",11500
"2017-12-12",11650
"2017-12-13",11700
"2017-12-14",11700
"2017-12-15",11900
"2017-12-18",12000
"2017-12-19",11950
"2017-12-20",11600
"2017-12-21",11400
"2017-12-22",11500
"2017-12-26",12250
"2017-12-27",12600
"2017-12-28",13750
"2018-01-02",14050
"2018-01-03",14050
"2018-01-04",14200
"2018-01-05",15000
"2018-01-08",16100
"2018-01-09",15850
"2018-01-10",16400
"2018-01-11",16200
"2018-01-12",16200
"2018-01-15",16300
"2018-01-16",16000
"2018-01-17",18300
"2018-01-18",17150
"2018-01-19",16300
"2018-01-22",16100
"2018-01-23",16150
"2018-01-24",16150
"2018-01-25",16450
"2018-01-26",17100
"2018-01-29",16700
"2018-01-30",16650
"2018-01-31",17500
"2018-02-01",18450
"2018-02-02",17400
"2018-02-05",16500
"2018-02-06",16750
"2018-02-07",17100
"2018-02-08",17100
"2018-02-09",17900
"2018-02-12",17200
"2018-02-13",16150
"2018-02-14",17000
"2018-02-19",16950
"2018-02-20",16950
"2018-02-21",16700
"2018-02-22",17750
"2018-02-23",17100
"2018-02-26",16950
"2018-02-27",16950
"2018-02-28",17750
"2018-03-02",18650
"2018-03-05",16950
"2018-03-06",17650
"2018-03-07",17550
"2018-03-08",18450
"2018-03-09",19100
"2018-03-12",19500
"2018-03-13",20000
"2018-03-14",19400
"2018-03-15",19850
"2018-03-16",19200
"2018-03-19",18800
"2018-03-20",19000
"2018-03-21",18750
"2018-03-22",19150
"2018-03-23",19400
"2018-03-26",19700
"2018-03-27",19800
"2018-03-28",19900
"2018-03-29",20000
"2018-03-30",19400
"2018-04-02",18150
"2018-04-03",18250
"2018-04-04",17500
"2018-04-05",17650
"2018-04-06",18400
"2018-04-09",17900
"2018-04-10",18100
"2018-04-11",17900
"2018-04-12",17250
"2018-04-13",18750
"2018-04-16",18800
"2018-04-17",19100
"2018-04-18",19200
"2018-04-19",19650
"2018-04-20",19200
"2018-04-23",18250
"2018-04-24",19550
"2018-04-25",19850
"2018-04-26",20300
"2018-04-27",19850
"2018-04-30",19550
"2018-05-02",19450
"2018-05-03",20400
"2018-05-04",19800
"2018-05-08",19500
"2018-05-09",18950
"2018-05-10",18850
"2018-05-11",19150
"2018-05-14",18850
"2018-05-15",18400
"2018-05-16",18300
"2018-05-17",17750
"2018-05-18",18350
"2018-05-21",17500
"2018-05-23",17100
"2018-05-24",17000
"2018-05-25",16300
"2018-05-28",16450
"2018-05-29",16900
"2018-05-30",16200
"2018-05-31",16000
"2018-06-01",16150
"2018-06-04",15750
"2018-06-05",16000
"2018-06-07",15650
"2018-06-08",15250
"2018-06-11",15700
"2018-06-12",15400
"2018-06-14",16300
"2018-06-15",16450
"2018-06-18",15650
"2018-06-19",15500
"2018-06-20",15950
"2018-06-21",15700
"2018-06-22",15100
"2018-06-25",15700
"2018-06-26",16600
"2018-06-27",18000
"2018-06-28",17700
"2018-06-29",17900
"2018-07-02",17900
"2018-07-03",17000
"2018-07-04",17300
"2018-07-05",16600
"2018-07-06",16300
"2018-07-09",16500
"2018-07-10",16400
"2018-07-11",15850
"2018-07-12",16050
"2018-07-13",17300
"2018-07-16",16800
"2018-07-17",16800
"2018-07-18",17650
"2018-07-19",17100
"2018-07-20",16350
"2018-07-23",15450
"2018-07-24",15600
"2018-07-25",15450
"2018-07-26",15450
"2018-07-27",16000
"2018-07-30",15700
"2018-07-31",15700
"2018-08-01",15700
"2018-08-02",15450
"2018-08-03",15700
"2018-08-06",15600
"2018-08-07",15300
"2018-08-08",15150
"2018-08-09",14800
"2018-08-10",15250
"2018-08-13",14500
"2018-08-14",14500
"2018-08-16",13200
"2018-08-17",12850
"2018-08-20",12550
"2018-08-21",12900
"2018-08-22",12950
"2018-08-23",12650
"2018-08-24",12500
"2018-08-27",12500
"2018-08-28",13000
"2018-08-29",13000
"2018-08-30",13100
"2018-08-31",13550
"2018-09-03",13850
"2018-09-04",13900
"2018-09-05",13700
"2018-09-06",13500
"2018-09-07",13600
"2018-09-10",13000
"2018-09-11",14050
"2018-09-12",14300
"2018-09-13",13900
"2018-09-14",13900
"2018-09-17",13950
"2018-09-18",14100
"2018-09-19",13600
"2018-09-20",13450
"2018-09-21",14150
"2018-09-27",14300
"2018-09-28",14000
"2018-10-01",13650
"2018-10-02",13200
"2018-10-04",12850
"2018-10-05",13000
"2018-10-08",12950
"2018-10-10",12600
"2018-10-11",11450
"2018-10-12",12000
"2018-10-15",12850
"2018-10-16",13050
"2018-10-17",13800
"2018-10-18",14400
"2018-10-19",14200
"2018-10-22",14450
"2018-10-23",14100
"2018-10-24",13900
"2018-10-25",13600
"2018-10-26",13000
"2018-10-29",12000
"2018-10-30",12450
"2018-10-31",13200
