"","Price"
"2019-01-28",1000
"2019-01-29",1000
"2019-01-30",1000
"2019-01-31",1000
"2019-02-01",1000
"2019-02-07",1000
"2019-02-08",1000
"2019-02-11",1000
"2019-02-12",1000
"2019-02-13",1000
"2019-02-14",1000
"2019-02-15",1000
"2019-02-18",1000
"2019-02-19",1000
"2019-02-20",1000
"2019-02-21",1000
"2019-02-22",1000
"2019-02-25",1000
"2019-02-26",1000
"2019-02-27",1000
"2019-02-28",1000
"2019-03-04",1000
"2019-03-05",1000
"2019-03-06",1000
"2019-03-07",1000
"2019-03-08",1000
"2019-03-11",1000
"2019-03-12",1000
"2019-03-13",1000
"2019-03-14",1000
"2019-03-15",1000
"2019-03-18",1000
"2019-03-19",1000
"2019-03-20",1000
"2019-03-21",1000
"2019-03-22",1000
"2019-03-25",1000
"2019-03-26",1000
"2019-03-27",1000
"2019-03-28",1000
"2019-03-29",1000
"2019-04-01",1000
"2019-04-02",1000
"2019-04-03",1000
"2019-04-04",1000
"2019-04-05",1000
"2019-04-08",1000
"2019-04-09",1000
"2019-04-10",1000
"2019-04-11",1000
"2019-04-12",1000
"2019-04-15",1000
"2019-04-16",1000
"2019-04-17",1000
"2019-04-18",1000
"2019-04-19",1000
"2019-04-22",1000
"2019-04-23",1000
"2019-04-24",1000
"2019-04-25",1000
"2019-04-26",1000
"2019-04-29",1000
"2019-04-30",1000
"2019-05-02",1000
"2019-05-03",1000
"2019-05-07",1000
"2019-05-08",1000
"2019-05-09",1000
"2019-05-10",1000
"2019-05-13",1000
"2019-05-14",1000
"2019-05-15",1000
"2019-05-16",1000
"2019-05-17",1000
"2019-05-20",1000
"2019-05-21",1000
"2019-05-22",1000
"2019-05-23",1000
"2019-05-24",1000
"2019-05-27",1000
"2019-05-28",1000
"2019-05-29",1000
"2019-05-30",1000
"2019-05-31",1000
"2019-06-03",1000
"2019-06-04",1000
"2019-06-05",1000
"2019-06-07",1000
"2019-06-10",1000
"2019-06-11",1000
"2019-06-12",1000
"2019-06-13",1000
"2019-06-14",1000
"2019-06-17",1000
"2019-06-18",1000
"2019-06-19",1000
"2019-06-20",1000
"2019-06-21",1000
"2019-06-24",1000
"2019-06-25",1000
"2019-06-26",1000
"2019-06-27",1000
"2019-06-28",1000
"2019-07-01",1000
"2019-07-02",1000
"2019-07-03",1000
"2019-07-04",1000
"2019-07-05",1000
