"","code","name","stock"
"2016","00260985","한빛네트","036720"
"2028","00264529","엔플렉스","040130"
"2029","00358545","동서정보기술","055000"
"2793","00231567","애드모바일","032600"
"3903","00247939","씨모스","037600"
"3906","00359614","리더컴","056140"
"3976","00153551","허메스홀딩스","012400"
"4009","00344746","유티엑스","045880"
"4086","00261188","글로포스트","037830"
"4087","00268020","쏠라엔텍","030390"
"4088","00269287","보홍","041320"
"4132","00475286","동북아1호선박투자회사","078420"
"4139","00250775","에듀아크","046350"
"4158","00114321","데코","013650"
"4238","00191108","엘앤씨피","015390"
"4255","00167378","희훈디앤지","019640"
"4262","00225210","퓨쳐인포넷","058690"
"4267","00223346","쓰리디넷","035400"
"4269","00174129","제일저축은행","024100"
"4270","00114826","제일창업투자","026540"
"4294","00173333","현대DSF","016510"
"4296","00687599","네프로아이티","950030"
"4357","00256292","자강","036790"
"4368","00271431","케이엠에스","038830"
"4396","00154727","에버리소스","020070"
"4397","00246189","제이에스","037110"
"4439","00154204","태창기업","007490"
"4446","00152631","에이치비이에너지","017300"
"4448","00107923","남한제지","001950"
"4456","00358095","코어비트","056850"
"4474","00510215","동북아8호선박투자회사","082110"
"4535","00347619","한국통신데이타","045760"
"4545","00372013","케너텍","062730"
"4553","00353735","다휘","055250"
"4583","00186540","코오롱아이넷","022520"
"4653","00128759","캠브리지코오롱","004620"
"4669","00535588","네오세미테크","089240"
"4678","00264981","디에이치패션","045260"
"4710","00231521","핸디소프트","032380"
"4713","00159908","케이엠에이치","009690"
"4760","00259493","씨엘엘씨디","035710"
"4767","00359641","현대푸드시스템","114410"
"4796","00103325","고제","002540"
"4797","00161639","메리츠종합금융","012420"
"4814","00211271","제넥셀세인","034660"
"4815","00388272","쓰리디월드","065340"
"4852","00264796","스톰이앤에프","043680"
"4879","00134909","소예","035010"
"4933","00236368","엠엔에프씨","048640"
"4941","00684547","하이트맥주","103150"
"4972","00251385","보광티에스","066690"
"4973","00262682","아인스엠앤엠","040740"
"5134","00234555","씨엔씨엔터프라이즈","038420"
"5148","00507257","아이알디","084810"
"5177","00417963","바이나믹","067850"
"5284","00543523","코크렙제7호위탁관리부동산투자회사","086720"
"5285","00300566","엔빅스","054170"
"5381","00299376","선팩테크","054010"
"5426","00112068","마이크로닉스","001190"
"5445","00257194","블루스톤디앤아이","033720"
"5485","00477372","신지소프트","078700"
"5556","00465410","맥쿼리센트럴오피스기업구조조정부동산투자회사","076850"
"5600","00331760","테스텍","048510"
"5653","00200761","중앙디자인","030030"
"5751","00268297","에코페트로시스템","042870"
"5770","00161301","한림창업투자","021060"
"5819","00237260","헤쎄나","036270"
"5855","00297970","미래에셋굿라이프혼합형자녀를위한투자회사10-1","037510"
"5903","00107358","일공공일안경콘택트","032030"
"5966","00115427","신동방CP","004660"
"6071","00267474","지앤알","043630"
"6093","00134051","셀런","013240"
"6106","00596066","한국베트남15-1유전해외자원개발투자회사","093820"
"6171","00347363","에이치원바이오","052310"
"6182","00150226","씨앤중공업","008400"
"6183","00152914","FnC코오롱","001370"
"6218","00158839","제너비오믹스","017010"
"6235","00159281","케드콤","011050"
"6284","00210537","지엔텍홀딩스","065410"
"6298","00240370","동부씨엔아이","044640"
"6318","00247887","아이피에스","051820"
"6327","00268358","에스브이에이치","046240"
"6365","00316488","제이콤","060750"
"6377","00264130","옥션","043790"
"6384","00540304","네이쳐글로벌","088020"
"6404","00617299","GB블루오션베트남주식혼합형투자회사1호","094950"
"6453","00262275","엠씨티티코어","052210"
"6470","00200798","에이스앤파트너스","032930"
"6487","00335924","지앤디윈텍","061050"
"6509","00111591","인터피온반도체","014010"
"6510","00189343","솔로몬저축은행","007800"
"6520","00252588","엠트론스토리지테크놀로지","046320"
"6561","00267997","에스티앤아이","031800"
"6566","00367376","사이노젠","064060"
"6567","00299686","유퍼트","060670"
"6569","00463050","엑스로드","074140"
"6570","00238913","선우중공업","068770"
"6609","00107446","남양","003020"
"6614","00114303","엘지데이콤","015940"
"6615","00318617","LG파워콤","045820"
"6621","00267775","동산진흥","031960"
"6622","00394574","티이씨","067950"
"6623","00110176","한국기술산업","008320"
"6645","00349787","지케이파워","054020"
"6646","00136554","스타맥스","017050"
"6682","00144562","유성티에스아이","024870"
"6900","00370547","네오리소스","058550"
"6926","00242439","케이알","035950"
"6951","00134060","씨앤상선","000790"
