"","code","name","stock"
"2015","00260985","한빛네트","036720"
"2027","00264529","엔플렉스","040130"
"2028","00358545","동서정보기술","055000"
"2792","00231567","애드모바일","032600"
"3902","00247939","씨모스","037600"
"3905","00359614","리더컴","056140"
"3975","00153551","허메스홀딩스","012400"
"4008","00344746","유티엑스","045880"
"4085","00261188","글로포스트","037830"
"4086","00268020","쏠라엔텍","030390"
"4087","00269287","보홍","041320"
"4131","00475286","동북아1호선박투자회사","078420"
"4138","00250775","에듀아크","046350"
"4157","00114321","데코","013650"
"4237","00191108","엘앤씨피","015390"
"4254","00167378","희훈디앤지","019640"
"4261","00225210","퓨쳐인포넷","058690"
"4266","00223346","쓰리디넷","035400"
"4268","00174129","제일저축은행","024100"
"4269","00114826","제일창업투자","026540"
"4293","00173333","현대DSF","016510"
"4295","00687599","네프로아이티","950030"
"4356","00256292","자강","036790"
"4367","00271431","케이엠에스","038830"
"4395","00154727","에버리소스","020070"
"4396","00246189","제이에스","037110"
"4438","00154204","태창기업","007490"
"4445","00152631","에이치비이에너지","017300"
"4447","00107923","남한제지","001950"
"4455","00358095","코어비트","056850"
"4473","00510215","동북아8호선박투자회사","082110"
"4534","00347619","한국통신데이타","045760"
"4544","00372013","케너텍","062730"
"4552","00353735","다휘","055250"
"4582","00186540","코오롱아이넷","022520"
"4652","00128759","캠브리지코오롱","004620"
"4668","00535588","네오세미테크","089240"
"4677","00264981","디에이치패션","045260"
"4709","00231521","핸디소프트","032380"
"4712","00159908","케이엠에이치","009690"
"4759","00259493","씨엘엘씨디","035710"
"4766","00359641","현대푸드시스템","114410"
"4795","00103325","고제","002540"
"4796","00161639","메리츠종합금융","012420"
"4813","00211271","제넥셀세인","034660"
"4814","00388272","쓰리디월드","065340"
"4851","00264796","스톰이앤에프","043680"
"4878","00134909","소예","035010"
"4932","00236368","엠엔에프씨","048640"
"4940","00684547","하이트맥주","103150"
"4971","00251385","보광티에스","066690"
"4972","00262682","아인스엠앤엠","040740"
"5133","00234555","씨엔씨엔터프라이즈","038420"
"5147","00507257","아이알디","084810"
"5176","00417963","바이나믹","067850"
"5283","00543523","코크렙제7호위탁관리부동산투자회사","086720"
"5284","00300566","엔빅스","054170"
"5380","00299376","선팩테크","054010"
"5425","00112068","마이크로닉스","001190"
"5444","00257194","블루스톤디앤아이","033720"
"5484","00477372","신지소프트","078700"
"5555","00465410","맥쿼리센트럴오피스기업구조조정부동산투자회사","076850"
